"MatchID","Fecha","Hora","Grupo","Local","Visita","Sede"
"1","46184","0.541666666666667","A","Mexico","South Africa","Estadio Azteca, Mexico City"
"2","46184","0.833333333333333","A","South Korea","Czechia","Estadio Akron, Zapopan"
"3","46185","0.541666666666667","B","Canada","Bosnia & Herzegovina","BMO Field, Toronto"
"4","46185","0.791666666666667","D","USA","Paraguay","SoFi Stadium, Inglewood"
"5","46185","0.916666666666667","D","Australia","Türkiye","BC Place, Vancouver"
"6","46186","0.541666666666667","B","Qatar","Switzerland","Levi’s Stadium, Santa Clara"
"7","46186","0.666666666666667","C","Brazil","Morocco","MetLife Stadium, East Rutherford"
"8","46186","0.791666666666667","C","Haiti","Scotland","Gillette Stadium, Foxborough"
"9","46187","0.458333333333333","E","Germany","Curaçao","NRG Stadium, Houston"
"10","46187","0.583333333333333","F","Netherlands","Japan","AT&T Stadium, Arlington"
"11","46187","0.708333333333333","E","Ivory Coast","Ecuador","Lincoln Financial Field, Philadelphia"
"12","46187","0.833333333333333","F","Sweden","Tunisia","Estadio BBVA, Monterrey"
"13","46188","0.416666666666667","H","Spain","Cape Verde","Mercedes-Benz Stadium, Atlanta"
"14","46188","0.541666666666667","G","Belgium","Egypt","Lumen Field, Seattle"
"15","46188","0.666666666666667","H","Saudi Arabia","Uruguay","Hard Rock Stadium, Miami Gardens"
"16","46188","0.791666666666667","G","Iran","New Zealand","SoFi Stadium, Inglewood"
"17","46189","0.541666666666667","I","France","Senegal","MetLife Stadium, East Rutherford"
"18","46189","0.666666666666667","I","Iraq","Norway","Gillette Stadium, Foxborough"
"19","46189","0.791666666666667","J","Argentina","Algeria","Arrowhead Stadium, Kansas City"
"20","46188","0.916666666666667","J","Austria","Jordan","Levi’s Stadium, Santa Clara"
"21","46190","0.458333333333333","K","Portugal","DR Congo","NRG Stadium, Houston"
"22","46190","0.583333333333333","L","England","Croatia","AT&T Stadium, Arlington"
"23","46190","0.708333333333333","L","Ghana","Panama","BMO Field, Toronto"
"24","46190","0.833333333333333","K","Uzbekistan","Colombia","Estadio Azteca, Mexico City"
"25","46191","0.416666666666667","A","Czechia","South Africa","Mercedes-Benz Stadium, Atlanta"
"26","46191","0.541666666666667","B","Switzerland","Bosnia & Herzegovina","SoFi Stadium, Inglewood"
"27","46191","0.666666666666667","B","Canada","Qatar","BC Place, Vancouver"
"28","46191","0.791666666666667","A","Mexico","South Korea","Estadio Akron, Zapopan"
"29","46191","0.916666666666667","D","Türkiye","Paraguay","Levi’s Stadium, Santa Clara"
"30","46192","0.541666666666667","D","USA","Australia","Lumen Field, Seattle"
"31","46192","0.666666666666667","C","Scotland","Morocco","Gillette Stadium, Foxborough"
"32","46192","0.791666666666667","C","Brazil","Haiti","Lincoln Financial Field, Philadelphia"
"33","46192","0.916666666666667","F","Tunisia","Japan","Estadio BBVA, Monterrey"
"34","46193","0.458333333333333","F","Netherlands","Sweden","NRG Stadium, Houston"
"35","46193","0.583333333333333","E","Germany","Ivory Coast","BMO Field, Toronto"
"36","46193","0.75","E","Ecuador","Curaçao","Arrowhead Stadium, Kansas City"
"37","46194","0.416666666666667","H","Spain","Saudi Arabia","Mercedes-Benz Stadium, Atlanta"
"38","46194","0.541666666666667","G","Belgium","Iran","SoFi Stadium, Inglewood"
"39","46194","0.666666666666667","H","Uruguay","Cape Verde","Hard Rock Stadium, Miami Gardens"
"40","46194","0.791666666666667","G","New Zealand","Egypt","BC Place, Vancouver"
"41","46195","0.458333333333333","J","Argentina","Austria","AT&T Stadium, Arlington"
"42","46195","0.625","I","France","Iraq","Lincoln Financial Field, Philadelphia"
"43","46195","0.75","I","Norway","Senegal","MetLife Stadium, East Rutherford"
"44","46195","0.875","J","Jordan","Algeria","Levi’s Stadium, Santa Clara"
"45","46196","0.458333333333333","K","Portugal","Uzbekistan","NRG Stadium, Houston"
"46","46196","0.583333333333333","L","England","Ghana","Gillette Stadium, Foxborough"
"47","46196","0.708333333333333","L","Panama","Croatia","BMO Field, Toronto"
"48","46196","0.833333333333333","K","Colombia","DR Congo","Estadio Akron, Zapopan"
"49","46197","0.541666666666667","B","Switzerland","Canada","BC Place, Vancouver"
"50","46197","0.541666666666667","B","Bosnia & Herzegovina","Qatar","Lumen Field, Seattle"
"51","46197","0.666666666666667","C","Scotland","Brazil","Hard Rock Stadium, Miami Gardens"
"52","46197","0.666666666666667","C","Morocco","Haiti","Mercedes-Benz Stadium, Atlanta"
"53","46197","0.791666666666667","A","Czechia","Mexico","Estadio Azteca, Mexico City"
"54","46197","0.791666666666667","A","South Africa","South Korea","Estadio BBVA, Monterrey"
"55","46198","0.583333333333333","E","Curaçao","Ivory Coast","Lincoln Financial Field, Philadelphia"
"56","46198","0.583333333333333","E","Ecuador","Germany","MetLife Stadium, East Rutherford"
"57","46198","0.708333333333333","F","Japan","Sweden","AT&T Stadium, Arlington"
"58","46198","0.708333333333333","F","Tunisia","Netherlands","Arrowhead Stadium, Kansas City"
"59","46198","0.833333333333333","D","Türkiye","USA","SoFi Stadium, Inglewood"
"60","46198","0.833333333333333","D","Paraguay","Australia","Levi’s Stadium, Santa Clara"
"61","46199","0.541666666666667","I","Norway","France","Gillette Stadium, Foxborough"
"62","46199","0.541666666666667","I","Senegal","Iraq","BMO Field, Toronto"
"63","46199","0.75","H","Cape Verde","Saudi Arabia","NRG Stadium, Houston"
"64","46199","0.75","H","Uruguay","Spain","Estadio Akron, Zapopan"
"65","46199","0.875","G","Egypt","Iran","Lumen Field, Seattle"
"66","46199","0.875","G","New Zealand","Belgium","BC Place, Vancouver"
"67","46200","0.625","L","Panama","England","MetLife Stadium, East Rutherford"
"68","46200","0.625","L","Croatia","Ghana","Lincoln Financial Field, Philadelphia"
"69","46200","0.729166666666667","K","Colombia","Portugal","Hard Rock Stadium, Miami Gardens"
"70","46200","0.729166666666667","K","DR Congo","Uzbekistan","Mercedes-Benz Stadium, Atlanta"
"71","46200","0.833333333333333","J","Algeria","Austria","Arrowhead Stadium, Kansas City"
"72","46200","0.833333333333333","J","Jordan","Argentina","AT&T Stadium, Arlington"
